,symbol
420,AGX
421,AGYS
422,AHACU
423,AHC
424,AHC.DE
425,AHCO
426,AHH
427,AHNR
428,AHPA
429,AHPAW
430,AHPI
431,AHT-PD
432,AHT-PF
433,AHT-PG
434,AHT-PH
435,AHT-PI
436,AHT
437,AIAD
438,AIC
439,AIG-PA
440,AIG
441,AIKI
442,AILIH
443,AILLI
444,AILLN
445,AILLO
446,AIM
447,AIMC
448,AIMD
449,AINC
450,AINV
451,AIP
452,AIR.DE
453,AIRC
454,AIRG
455,AIRI
456,AIRT
457,AIRTW
458,AITX
459,AIV
460,AJAX-UN
461,AJIA
462,AJRD
463,AJX
464,AK3.DE
465,AKA
466,AKBA
467,AKE.PA
468,AKIC
469,AKICU
470,AKICW
471,AKOM
472,AKR
473,AKRO
474,AKTS
475,AKTX
476,AKUS
477,AKX.DE
478,AKYA
479,AKZA.AS
480,AL-PA
481,AL
482,ALACR
483,ALBO
484,ALCC
485,ALCO
486,ALD.DE
487,ALDA
488,ALDS
489,ALDX
490,ALE
491,ALEC
492,ALEX
493,ALF
494,ALGM
495,ALHC
496,ALIM
497,ALIT
498,ALJJ
499,ALK
500,ALKT
501,ALL-PB
502,ALL-PG
503,ALL-PH
504,ALL-PI
505,ALLK
506,ALLO
507,ALLR
508,ALLY
509,ALNA
510,ALOT
511,ALPA
512,ALPC
513,ALPN
514,ALPP
515,ALRM
516,ALRN
517,ALRS
518,ALRT
519,ALS.DE
520,ALSK
521,ALSN
522,ALT
523,ALTA
524,ALTD
525,ALTG
526,ALTM
527,ALTO
528,ALTR
529,ALTU
530,ALTUU
531,ALTX
532,ALV.DE
533,ALVR
534,ALXN
535,ALXO
536,AM
537,AMAL
538,AMAO
539,AMAOU
540,AMAOW
541,AMBC
542,AMC
543,AMCIU
544,AMCIW
545,AMCR
546,AMCT
547,AMCX
548,AMD.DE
549,AMEH
550,AMG.DE
551,AMH-PE
552,AMH-PF
553,AMH-PG
554,AMH-PH
555,AMH
556,AMHC
557,AMHCU
558,AMHCW
559,AMHG
560,AMIH
561,AMK
562,AMKR
563,AML.L
564,AMMJ
565,AMMX
566,AMNB
567,AMNL
568,AMOT
569,AMPE
570,AMPG
571,AMPGW
572,AMPH
573,AMPI
574,AMPL
575,AMPY
576,AMR
577,AMRB
578,AMRC
579,AMRK
580,AMRR
581,AMRS
582,AMRX
583,AMS
584,AMSC
585,AMSF
586,AMST
587,AMSU
588,AMTB
589,AMTBB
590,AMTI
591,AMTX
592,AMTY
593,AMWL
594,AMYT
595,AMZ.DE
596,ANAB
597,ANAC
598,ANAV
599,ANDA
600,ANDAR
601,ANDAW
602,ANDE
603,ANDR
604,ANEB
605,ANGI
606,ANGN
607,ANGO
608,ANIK
609,ANIP
610,ANNX
611,ANSU
612,ANVS
613,ANZU
614,ANZUU
615,ANZUW
616,AOF.DE
617,AOMR
618,AONE
619,AOS
620,AOSL
621,AOXY
622,AP
623,APA
624,APAM
625,APC.DE
626,APCX
627,APCXW
628,APDN
629,APEI
630,APEN
631,APG
632,APGB
633,APH
634,APHE
635,APLE
636,APLS
637,APLT
638,APMI
639,APMIW
640,APN
641,APO-PA
642,APO-PB
643,APO
644,APOG
645,APP
646,APPH
647,APPN
648,APPS
649,APR
650,APRCP
651,APRDM
652,APRDN
653,APRDP
654,APRE
655,APRN
656,APSG-UN
657,APSG
658,APTM
659,APTS
660,APTX
661,APVO
662,APXT
663,APXTU
664,APXTW
665,APYX
666,AQB
667,AQMS
668,AQSP
669,AQST
670,AQUA
671,AR
672,ARAO
673,ARAV
674,ARAY
675,ARBGU
676,ARC
677,ARCC
678,ARCT
679,ARDS
680,ARDX
681,AREB
682,AREC
683,ARES-PA
684,ARES
685,ARGC
686,ARGU
687,ARGUU
688,ARI
689,ARIS
690,ARKO
691,ARKR
692,ARL
693,ARLO
694,ARLP
695,ARMK
696,ARMP
697,ARNC
698,AROC
699,AROW
700,ARQT
701,ARR-PC
702,ARR
703,ARRW
704,ARRWU
705,ARRWW
706,ARRY
707,ARTE
708,ARTEU
709,ARTH
710,ARTL
711,ARTLW
712,ARTNA
713,ARTNB
714,ARTW
715,ARVN
716,ARWR
717,ARYD
718,ARYE
719,ASAQ
720,ASAX
721,ASAXU
722,ASAXW
723,ASB
724,ASCK
725,ASDN
726,ASFT
727,ASIX
728,ASL.DE
729,ASLE
730,ASLEW
731,ASM.AS
732,ASMB
733,ASME.DE
734,ASML.AS
735,ASNB
736,ASPA
737,ASPC
738,ASPCU
739,ASPCW
740,ASPN
741,ASRT
742,ASRV
743,ASRVP
744,ASSF
745,ASTC
746,ASTE
